Hans,py,py2
莪,é,e2
锇,é,e2
恶,wù,e3
恶,wù,e4
饿,è,e4
扼,è,e4
愕,è,e4
遏,è,e4
噩,è,e4
呃,ê,e4
厄,è,e4
鄂,è,e4
轭,è,e4
颚,è,e4
鳄,è,e4
谔,è,e4
锷,è,e4
萼,è,e4
腭,è,e4
垩,è,e4
鹗,è,e4
苊,è,e4
阏,yān,e4
呃,ê,e5
诶,èi,ei2
诶,èi,ei3
诶,èi,ei4
恩,ēn,en1
蒽,ēn,en1
摁,èn,en4
而,ér,er2
儿,ér,er2
鸸,ér,er2
鲕,ér,er2
尔,ěr,er3
耳,ěr,er3
迩,ěr,er3
饵,ěr,er3
洱,ěr,er3
珥,ěr,er3
铒,ěr,er3
二,èr,er4
贰,èr,er4
佴,nài,er4
发,fā,fa1
罚,fá,fa2
乏,fá,fa2
伐,fá,fa2
阀,fá,fa2
筏,fá,fa2
垡,fá,fa2
法,fǎ,fa3
砝,fǎ,fa3
发,fā,fa4
珐,fà,fa4
翻,fān,fan1
番,pān,fan1
帆,fān,fan1
藩,fān,fan1
幡,fān,fan1
蕃,fán,fan1
凡,fán,fan2
烦,fán,fan2
繁,pó,fan2
泛,fàn,fan2
樊,fán,fan2
蕃,fán,fan2
燔,fán,fan2
矾,fán,fan2
蘩,fán,fan2
钒,fán,fan2
蹯,fán,fan2
反,fǎn,fan3
返,fǎn,fan3
饭,fàn,fan4
犯,fàn,fan4
范,fàn,fan4
贩,fàn,fan4
泛,fàn,fan4
梵,fàn,fan4
畈,fàn,fan4
方,fāng,fang1
芳,fāng,fang1
妨,fáng,fang1
坊,fáng,fang1
邡,fāng,fang1
枋,fāng,fang1
钫,fāng,fang1
房,fáng,fang2
防,fáng,fang2
妨,fáng,fang2
坊,fáng,fang2
肪,fáng,fang2
鲂,fáng,fang2
访,fǎng,fang3
仿,fǎng,fang3
纺,fǎng,fang3
彷,páng,fang3
舫,fǎng,fang3
放,fàng,fang4
非,fēi,fei1
飞,fēi,fei1
啡,fēi,fei1
菲,fěi,fei1
扉,fēi,fei1
霏,fēi,fei1
妃,fēi,fei1
绯,fēi,fei1
蜚,fěi,fei1
鲱,fēi,fei1
肥,féi,fei2
腓,féi,fei2
淝,féi,fei2
菲,fěi,fei3
匪,fěi,fei3
诽,fěi,fei3
斐,fěi,fei3
蜚,fěi,fei3
翡,fěi,fei3
悱,fěi,fei3
篚,fěi,fei3
榧,fěi,fei3
费,fèi,fei4
废,fèi,fei4
沸,fèi,fei4
肺,fèi,fei4
吠,fèi,fei4
痱,fèi,fei4
狒,fèi,fei4
镄,fèi,fei4
芾,fú,fei4
分,fēn,fen1
纷,fēn,fen1
氛,fēn,fen1
芬,fēn,fen1
吩,fēn,fen1
酚,fēn,fen1
玢,fēn,fen1
坟,fén,fen2
焚,fén,fen2
汾,fén,fen2
棼,fén,fen2
鼢,fén,fen2
粉,fěn,fen3
分,fēn,fen4
份,fèn,fen4
奋,fèn,fen4
愤,fèn,fen4
粪,fèn,fen4
忿,fèn,fen4
偾,fèn,fen4
瀵,fèn,fen4
鲼,fèn,fen4
风,fēng,feng1
封,fēng,feng1
丰,fēng,feng1
峰,fēng,feng1
疯,fēng,feng1
锋,fēng,feng1
蜂,fēng,feng1
枫,fēng,feng1
烽,fēng,feng1
酆,fēng,feng1
葑,fèng,feng1
沣,fēng,feng1
砜,fēng,feng1
逢,féng,feng2
缝,fèng,feng2
冯,píng,feng2
讽,fěng,feng3
唪,fěng,feng3
奉,fèng,feng4
缝,fèng,feng4
凤,fèng,feng4
俸,fèng,feng4
葑,fèng,feng4
佛,fú,fo2
否,pǐ,fou3
缶,fǒu,fou3
夫,fú,fu1
肤,fū,fu1
敷,fū,fu1
孵,fū,fu1
呋,fū,fu1
稃,fú,fu1
麸,fū,fu1
趺,fū,fu1
跗,fū,fu1
夫,fú,fu2
服,fù,fu2
福,fú,fu2
佛,fú,fu2
幅,fú,fu2
伏,fú,fu2
符,fú,fu2
浮,fú,fu2
扶,fú,fu2
弗,fú,fu2
拂,fú,fu2
袱,fú,fu2
俘,fú,fu2
芙,fú,fu2
孚,fú,fu2
匐,fú,fu2
辐,fú,fu2
涪,fú,fu2
氟,fú,fu2
桴,fú,fu2
蜉,fú,fu2
苻,fú,fu2
茯,fú,fu2
莩,piǎo,fu2
菔,fú,fu2
幞,fú,fu2
怫,fú,fu2
艴,fú,fu2
郛,fú,fu2
绂,fú,fu2
绋,fú,fu2
凫,fú,fu2
祓,fú,fu2
砩,fú,fu2
黻,fú,fu2
罘,fú,fu2
稃,fú,fu2
蚨,fú,fu2
芾,fú,fu2
蝠,fú,fu2
府,fǔ,fu3
父,fù,fu3
腐,fǔ,fu3
抚,fǔ,fu3
辅,fǔ,fu3
甫,fǔ,fu3
俯,fǔ,fu3
斧,fǔ,fu3
脯,pú,fu3
釜,fǔ,fu3
腑,fǔ,fu3
拊,fǔ,fu3
滏,fǔ,fu3
黼,fǔ,fu3
服,fù,fu4
复,fù,fu4
父,fù,fu4
负,fù,fu4
副,fù,fu4
富,fù,fu4
付,fù,fu4
妇,fù,fu4
附,fù,fu4
赴,fù,fu4
腹,fù,fu4
覆,fù,fu4
赋,fù,fu4
傅,fù,fu4
缚,fù,fu4
咐,fu,fu4
阜,fù,fu4
讣,fù,fu4
驸,fù,fu4
赙,fù,fu4
馥,fù,fu4
蝮,fù,fu4
鲋,fù,fu4
鳆,fù,fu4
咐,fu,fu5
夹,jiá,ga1
咖,kā,ga1
嘎,gǎ,ga1
胳,gé,ga1
伽,qié,ga1
旮,gā,ga1
嘎,gǎ,ga2
噶,gá,ga2
轧,zhá,ga2
尜,gá,ga2
钆,gá,ga2
嘎,gǎ,ga3
尕,gǎ,ga3
尬,gà,ga4
该,gāi,gai1
赅,gāi,gai1
垓,gāi,gai1
陔,gāi,gai1
改,gǎi,gai3
概,gài,gai4
盖,gě,gai4
丐,gài,gai4
钙,gài,gai4
芥,jiè,gai4
溉,gài,gai4
戤,gài,gai4
干,gàn,gan1
甘,gān,gan1
肝,gān,gan1
杆,gǎn,gan1
尴,gān,gan1
乾,qián,gan1
竿,gān,gan1
坩,gān,gan1
苷,gān,gan1
柑,gān,gan1
泔,gān,gan1
矸,gān,gan1
疳,gān,gan1
酐,gān,gan1
感,gǎn,gan3
敢,gǎn,gan3
赶,gǎn,gan3
杆,gǎn,gan3
橄,gǎn,gan3
秆,gǎn,gan3
擀,gǎn,gan3
澉,gǎn,gan3
干,gàn,gan4
赣,gàn,gan4
淦,gàn,gan4
绀,gàn,gan4
旰,gàn,gan4
刚,gāng,gang1
钢,gàng,gang1
纲,gāng,gang1
缸,gāng,gang1
扛,káng,gang1
杠,gàng,gang1
冈,gāng,gang1
肛,gāng,gang1
罡,gāng,gang1
港,gǎng,gang3
岗,gǎng,gang3
钢,gàng,gang4
杠,gàng,gang4
戆,zhuàng,gang4
筻,gàng,gang4
高,gāo,gao1
糕,gāo,gao1
膏,gào,gao1
皋,gāo,gao1
羔,gāo,gao1
睾,gāo,gao1
篙,gāo,gao1
槔,gāo,gao1
稿,gǎo,gao3
搞,gǎo,gao3
藁,gǎo,gao3
槁,gǎo,gao3
缟,gǎo,gao3
镐,hào,gao3
杲,gǎo,gao3
告,gào,gao4
膏,gào,gao4
诰,gào,gao4
郜,gào,gao4
锆,gào,gao4
歌,gē,ge1
格,gé,ge1
哥,gē,ge1
戈,gē,ge1
割,gē,ge1
胳,gé,ge1
搁,gé,ge1
疙,gē,ge1
咯,luò,ge1
鸽,gē,ge1
屹,yì,ge1
仡,yì,ge1
圪,gē,ge1
纥,hé,ge1
袼,gē,ge1
革,gé,ge2
格,gé,ge2
隔,gé,ge2
葛,gě,ge2
阁,gé,ge2
胳,gé,ge2
搁,gé,ge2
蛤,há,ge2
嗝,gé,ge2
骼,gé,ge2
颌,hé,ge2
搿,gé,ge2
膈,gé,ge2
镉,gé,ge2
塥,gé,ge2
鬲,lì,ge2
个,gè,ge3
各,gè,ge3
合,hé,ge3
盖,gě,ge3
葛,gě,ge3
哿,gě,ge3
舸,gě,ge3
个,gè,ge4
各,gè,ge4
铬,gè,ge4
硌,luò,ge4
虼,gè,ge4
给,gěi,gei3
根,gēn,gen1
跟,gēn,gen1
哏,gén,gen2
艮,gèn,gen3
亘,gèn,gen4
艮,gèn,gen4
茛,gèn,gen4
更,gèng,geng1
耕,gēng,geng1
庚,gēng,geng1
羹,gēng,geng1
赓,gēng,geng1
耿,gěng,geng3
颈,jǐng,geng3
梗,gěng,geng3
哽,gěng,geng3
鲠,gěng,geng3
埂,gěng,geng3
绠,gěng,geng3
更,gèng,geng4
工,gōng,gong1
公,gōng,gong1
共,gòng,gong1
红,hóng,gong1
供,gòng,gong1
功,gōng,gong1
攻,gōng,gong1
宫,gōng,gong1
恭,gōng,gong1
躬,gōng,gong1
龚,gōng,gong1
弓,gōng,gong1
肱,gōng,gong1
蚣,gōng,gong1
觥,gōng,gong1
巩,gǒng,gong3
拱,gǒng,gong3
汞,gǒng,gong3
珙,gǒng,gong3
共,gòng,gong4
供,gòng,gong4
贡,gòng,gong4
句,jù,gou1
沟,gōu,gou1
勾,gōu,gou1
钩,gōu,gou1
篝,gōu,gou1
佝,gōu,gou1
枸,jǔ,gou1
缑,gōu,gou1
鞲,gōu,gou1
狗,gǒu,gou3
苟,gǒu,gou3
岣,gǒu,gou3
枸,jǔ,gou3
笱,gǒu,gou3
够,gòu,gou4
购,gòu,gou4
构,gòu,gou4
勾,gōu,gou4
觏,gòu,gou4
垢,gòu,gou4
诟,gòu,gou4
媾,gòu,gou4
遘,gòu,gou4
彀,gòu,gou4
姑,gū,gu1
骨,gǔ,gu1
孤,gū,gu1
估,gù,gu1
辜,gū,gu1
咕,gū,gu1
呱,guǎ,gu1
箍,gū,gu1
沽,gū,gu1
菇,gū,gu1
轱,gū,gu1
鸪,gū,gu1
毂,gǔ,gu1
菰,gū,gu1
蛄,gǔ,gu1
酤,gū,gu1
觚,gū,gu1
骨,gǔ,gu2
古,gǔ,gu3
股,gǔ,gu3
鼓,gǔ,gu3
骨,gǔ,gu3
谷,yù,gu3
贾,jiǎ,gu3
汩,gǔ,gu3
蛊,gǔ,gu3
毂,gǔ,gu3
鹄,hú,gu3
牯,gǔ,gu3
臌,gǔ,gu3
诂,gǔ,gu3
瞽,gǔ,gu3
罟,gǔ,gu3
钴,gǔ,gu3
嘏,jiǎ,gu3
蛄,gǔ,gu3
鹘,hú,gu3
故,gù,gu4
顾,gù,gu4
固,gù,gu4
估,gù,gu4
雇,gù,gu4
锢,gù,gu4
梏,gù,gu4
牿,gù,gu4
崮,gù,gu4
痼,gù,gu4
鲴,gù,gu4
括,kuò,gua1
瓜,guā,gua1
刮,guā,gua1
呱,guǎ,gua1
栝,kuò,gua1
胍,guā,gua1
鸹,guā,gua1
寡,guǎ,gua3
呱,guǎ,gua3
剐,guǎ,gua3
挂,guà,gua4
褂,guà,gua4
卦,guà,gua4
诖,guà,gua4
乖,guāi,guai1
掴,guó,guai1
拐,guǎi,guai3
怪,guài,guai4
关,guān,guan1
观,guàn,guan1
官,guān,guan1
冠,guàn,guan1
棺,guān,guan1
矜,qín,guan1
莞,wǎn,guan1
倌,guān,guan1
纶,lún,guan1
鳏,guān,guan1
管,guǎn,guan3
馆,guǎn,guan3
莞,wǎn,guan3
观,guàn,guan4
惯,guàn,guan4
冠,guàn,guan4
贯,guàn,guan4
罐,guàn,guan4
灌,guàn,guan4
掼,guàn,guan4
盥,guàn,guan4
涫,guàn,guan4
鹳,guàn,guan4
光,guāng,guang1
咣,guāng,guang1
胱,guāng,guang1
桄,guàng,guang1
广,guǎng,guang3
犷,guǎng,guang3
逛,guàng,guang4
桄,guàng,guang4
规,guī,gui1
归,guī,gui1
瑰,guī,gui1
龟,qīu,gui1
硅,guī,gui1
闺,guī,gui1
皈,guī,gui1
傀,kuǐ,gui1
圭,guī,gui1
妫,guī,gui1
鲑,guī,gui1
鬼,guǐ,gui3
轨,guǐ,gui3
诡,guǐ,gui3
癸,guǐ,gui3
匦,guǐ,gui3
庋,guǐ,gui3
宄,guǐ,gui3
晷,guǐ,gui3
簋,guǐ,gui3
贵,guì,gui4
桂,guì,gui4
跪,guì,gui4
柜,jǔ,gui4
刽,guì,gui4
炔,quē,gui4
刿,guì,gui4
桧,huì,gui4
炅,jiǒng,gui4
鳜,guì,gui4
滚,gǔn,gun3
鲧,gǔn,gun3
衮,gǔn,gun3
绲,gǔn,gun3
磙,gǔn,gun3
辊,gǔn,gun3
棍,gùn,gun4
过,guò,guo1
锅,guō,guo1
郭,guō,guo1
涡,wō,guo1
聒,guō,guo1
蝈,guō,guo1
崞,guō,guo1
埚,guō,guo1
呙,guō,guo1
国,guó,guo2
帼,guó,guo2
掴,guó,guo2
馘,guó,guo2
虢,guó,guo2
果,guǒ,guo3
裹,guǒ,guo3
猓,guǒ,guo3
椁,guǒ,guo3
蜾,guǒ,guo3
过,guò,guo4
哈,hà,ha1
铪,hā,ha1
虾,xiā,ha2
蛤,há,ha2
哈,hà,ha3
哈,hà,ha4
嘿,mò,hai1
咳,ké,hai1
嗨,hēi,hai1
还,hái,hai2
孩,hái,hai2
骸,hái,hai2
海,hǎi,hai3
胲,hǎi,hai3
醢,hǎi,hai3
害,hài,hai4
亥,hài,hai4
骇,hài,hai4
氦,hài,hai4
酣,hān,han1
憨,hān,han1
顸,hān,han1
鼾,hān,han1
蚶,hān,han1
含,hán,han2
寒,hán,han2
汗,hàn,han2
韩,hán,han2
涵,hán,han2
函,hán,han2
晗,hán,han2
焓,hán,han2
邯,hán,han2
邗,hán,han2
喊,hǎn,han3
罕,hǎn,han3
阚,kàn,han3
汉,hàn,han4
汗,hàn,han4
憾,hàn,han4
翰,hàn,han4
撼,hàn,han4
旱,hàn,han4
捍,hàn,han4
悍,hàn,han4
瀚,hàn,han4
焊,hàn,han4
颔,hàn,han4
菡,hàn,han4
撖,hàn,han4
夯,hāng,hang1
行,xíng,hang2
航,háng,hang2
吭,kēng,hang2
杭,háng,hang2
绗,háng,hang2
珩,héng,hang2
颃,háng,hang2
行,xíng,hang4
巷,xiàng,hang4
沆,hàng,hang4
蒿,hāo,hao1
薅,hāo,hao1
嚆,hāo,hao1
号,hào,hao2
毫,háo,hao2
豪,háo,hao2
嚎,háo,hao2
壕,háo,hao2
貉,mò,hao2
嗥,háo,hao2
濠,háo,hao2
蚝,háo,hao2
好,hào,hao3
郝,hǎo,hao3
好,hào,hao4
号,hào,hao4
浩,hào,hao4
耗,hào,hao4
皓,hào,hao4
昊,hào,hao4
灏,hào,hao4
镐,hào,hao4
颢,hào,hao4
喝,hè,he1
呵,kē,he1
诃,hē,he1
嗬,hē,he1
和,hé,he2
何,hè,he2
合,hé,he2
河,hé,he2
核,hé,he2
盒,hé,he2
禾,hé,he2
荷,hè,he2
阂,hé,he2
涸,hé,he2
阖,hé,he2
貉,mò,he2
曷,hé,he2
颌,hé,he2
劾,hé,he2
菏,hé,he2
盍,hé,he2
纥,hé,he2
蚵,kè,he2
翮,hé,he2
和,hé,he4
何,hè,he4
喝,hè,he4
赫,hè,he4
吓,xià,he4
贺,hè,he4
荷,hè,he4
鹤,hè,he4
壑,hè,he4
褐,hè,he4
黑,hēi,hei1
嘿,mò,hei1
嗨,hēi,hei1
痕,hén,hen2
很,hěn,hen3
狠,hěn,hen3
恨,hèn,hen4
哼,hng,heng1
亨,hēng,heng1
行,xíng,heng2
横,hèng,heng2
衡,héng,heng2
恒,héng,heng2
蘅,héng,heng2
珩,héng,heng2
桁,héng,heng2
横,hèng,heng4
哼,hng,hng5
轰,hōng,hong1
哄,hòng,hong1
烘,hōng,hong1
薨,hōng,hong1
訇,hōng,hong1
红,hóng,hong2
洪,hóng,hong2
鸿,hóng,hong2
宏,hóng,hong2
虹,jiàng,hong2
弘,hóng,hong2
泓,hóng,hong2
闳,hóng,hong2
蕻,hòng,hong2
黉,hóng,hong2
荭,hóng,hong2
哄,hòng,hong3
哄,hòng,hong4
讧,hòng,hong4
蕻,hòng,hong4
侯,hòu,hou2
喉,hóu,hou2
猴,hóu,hou2
瘊,hóu,hou2
篌,hóu,hou2
糇,hóu,hou2
骺,hóu,hou2
吼,hǒu,hou3
后,hòu,hou4
候,hòu,hou4
後,hòu,hou4
厚,hòu,hou4
侯,hòu,hou4
逅,hòu,hou4
堠,hòu,hou4
鲎,hòu,hou4
乎,hū,hu1
呼,hū,hu1
戏,xì,hu1
忽,hū,hu1
糊,hù,hu1
惚,hū,hu1
唿,hū,hu1
滹,hū,hu1
轷,hū,hu1
烀,hū,hu1
和,hé,hu2
胡,hú,hu2
湖,hú,hu2
糊,hù,hu2
核,hé,hu2
壶,hú,hu2
狐,hú,hu2
葫,hú,hu2
弧,hú,hu2
蝴,hú,hu2
囫,hú,hu2
瑚,hú,hu2
斛,hú,hu2
鹄,hú,hu2
醐,hú,hu2
猢,hú,hu2
槲,hú,hu2
鹕,hú,hu2
觳,hú,hu2
煳,hú,hu2
鹘,hú,hu2
虎,hù,hu3
浒,hǔ,hu3
唬,xià,hu3
琥,hǔ,hu3
护,hù,hu4
户,hù,hu4
互,hù,hu4
糊,hù,hu4
虎,hù,hu4
沪,hù,hu4
祜,hù,hu4
扈,hù,hu4
戽,hù,hu4
笏,hù,hu4
岵,hù,hu4
怙,hù,hu4
瓠,hù,hu4
鹱,hù,hu4
冱,hù,hu4
华,huá,hua1
化,huà,hua1
花,huā,hua1
哗,yè,hua1
砉,xū,hua1
华,huá,hua2
划,huá,hua2
滑,huá,hua2
哗,yè,hua2
豁,huò,hua2
猾,huá,hua2
骅,huá,hua2
铧,huá,hua2
话,huà,hua4
华,huá,hua4
化,huà,hua4
划,huá,hua4
画,huà,hua4
桦,huà,hua4
怀,huái,huai2
徊,huí,huai2
淮,huái,huai2
槐,huái,huai2
踝,huái,huai2
坏,pī,huai4
划,huá,huai5
欢,huān,huan1
獾,huān,huan1
还,hái,huan2
环,huán,huan2
寰,huán,huan2
鬟,huán,huan2
桓,huán,huan2
圜,yuán,huan2
洹,huán,huan2
郇,xún,huan2
缳,huán,huan2
锾,huán,huan2
萑,huán,huan2
缓,huǎn,huan3
换,huàn,huan4
患,huàn,huan4
幻,huàn,huan4
唤,huàn,huan4
宦,huàn,huan4
焕,huàn,huan4
痪,huàn,huan4
涣,huàn,huan4
浣,huàn,huan4
奂,huàn,huan4
擐,huàn,huan4
豢,huàn,huan4
漶,huàn,huan4
逭,huàn,huan4
鲩,huàn,huan4
荒,huāng,huang1
慌,huāng,huang1
肓,huāng,huang1
黄,huáng,huang2
皇,huáng,huang2
煌,huáng,huang2
惶,huáng,huang2
徨,huáng,huang2
璜,huáng,huang2
簧,huáng,huang2
凰,huáng,huang2
潢,huáng,huang2
蝗,huáng,huang2
蟥,huáng,huang2
遑,huáng,huang2
隍,huáng,huang2
磺,huáng,huang2
癀,huáng,huang2
湟,huáng,huang2
篁,huáng,huang2
鳇,huáng,huang2
晃,huàng,huang3
恍,huǎng,huang3
谎,huǎng,huang3
幌,huǎng,huang3
晃,huàng,huang4
挥,huī,hui1
辉,huī,hui1
灰,huī,hui1
恢,huī,hui1
徽,huī,hui1
堕,duò,hui1
诙,huī,hui1
晖,huī,hui1
麾,huī,hui1
珲,hún,hui1
咴,huī,hui1
虺,huǐ,hui1
隳,huī,hui1
回,huí,hui2
徊,huí,hui2
蛔,huí,hui2
茴,huí,hui2
洄,huí,hui2
毁,huǐ,hui3
悔,huǐ,hui3
虺,huǐ,hui3
会,kuài,hui4
汇,huì,hui4
惠,huì,hui4
慧,huì,hui4
溃,kuì,hui4
绘,huì,hui4
讳,huì,hui4
贿,huì,hui4
晦,huì,hui4
秽,huì,hui4
诲,huì,hui4
彗,huì,hui4
烩,huì,hui4
荟,huì,hui4
卉,huì,hui4
喙,huì,hui4
恚,huì,hui4
浍,kuài,hui4
哕,huì,hui4
缋,huì,hui4
桧,huì,hui4
蕙,huì,hui4
蟪,huì,hui4
婚,hūn,hun1
昏,hūn,hun1
荤,xūn,hun1
阍,hūn,hun1
混,hùn,hun2
魂,hún,hun2
浑,hún,hun2
馄,hún,hun2
珲,hún,hun2
混,hùn,hun4
诨,hùn,hun4
溷,hùn,hun4
豁,huò,huo1
劐,huō,huo1
攉,huō,huo1
锪,huō,huo1
耠,huō,huo1
和,hé,huo2
活,huó,huo2
火,huǒ,huo3
伙,huǒ,huo3
夥,huǒ,huo3
钬,huǒ,huo3
和,hé,huo4
或,huò,huo4
获,huò,huo4
货,huò,huo4
祸,huò,huo4
惑,huò,huo4
霍,huò,huo4
豁,huò,huo4
藿,huò,huo4
嚯,huò,huo4
镬,huò,huo4
蠖,huò,huo4
其,qí,ji1
几,jǐ,ji1
期,qī,ji1
机,jī,ji1
基,jī,ji1
击,jī,ji1
奇,qí,ji1
激,jī,ji1
积,jī,ji1
鸡,jī,ji1
迹,jī,ji1
绩,jī,ji1
饥,jī,ji1
缉,qī,ji1
圾,jī,ji1
姬,jī,ji1
矶,jī,ji1
肌,jī,ji1
讥,jī,ji1
叽,jī,ji1
稽,jī,ji1
畸,jī,ji1
跻,jī,ji1
羁,jī,ji1
嵇,jī,ji1
唧,jī,ji1
畿,jī,ji1
齑,jī,ji1
箕,jī,ji1
屐,jī,ji1
剞,jī,ji1
玑,jī,ji1
赍,jī,ji1
犄,jī,ji1
墼,jī,ji1
芨,jī,ji1
丌,jī,ji1
咭,jī,ji1
笄,jī,ji1
乩,jī,ji1
革,gé,ji2
及,jí,ji2
即,jí,ji2
辑,jí,ji2
级,jí,ji2
极,jí,ji2
集,jí,ji2
急,jí,ji2
籍,jí,ji2
吉,jí,ji2
疾,jí,ji2
嫉,jí,ji2
藉,jiè,ji2
脊,jǐ,ji2
棘,jí,ji2
汲,jí,ji2
岌,jí,ji2
笈,jí,ji2
瘠,jí,ji2
诘,jié,ji2
亟,qì,ji2
楫,jí,ji2
蒺,jí,ji2
殛,jí,ji2
佶,jí,ji2
戢,jí,ji2
嵴,jí,ji2
蕺,jí,ji2
几,jǐ,ji3
给,gěi,ji3
己,jǐ,ji3
革,gé,ji3
济,jì,ji3
纪,jì,ji3
挤,jǐ,ji3
脊,jǐ,ji3
戟,jǐ,ji3
虮,jǐ,ji3
掎,jǐ,ji3
麂,jǐ,ji3
记,jì,ji4
系,xì,ji4
计,jì,ji4
济,jì,ji4
寄,jì,ji4
际,jì,ji4
技,jì,ji4
纪,jì,ji4
继,jì,ji4
既,jì,ji4
齐,qí,ji4
季,jì,ji4
寂,jì,ji4
祭,jì,ji4
忌,jì,ji4
剂,jì,ji4
冀,jì,ji4
妓,jì,ji4
骥,jì,ji4
蓟,jì,ji4
悸,jì,ji4
伎,jì,ji4
暨,jì,ji4
霁,jì,ji4
稷,jì,ji4
偈,jié,ji4
鲫,jì,ji4
髻,jì,ji4
觊,jì,ji4
荠,qí,ji4
跽,jì,ji4
哜,jì,ji4
鲚,jì,ji4
洎,jì,ji4
芰,jì,ji4
家,jiê,jia1
加,jiā,jia1
佳,jiā,jia1
夹,jiá,jia1
嘉,jiā,jia1
茄,qié,jia1
挟,xié,jia1
枷,jiā,jia1
珈,jiā,jia1
迦,jiā,jia1
伽,qié,jia1
浃,jiā,jia1
痂,jiā,jia1
笳,jiā,jia1
葭,jiā,jia1
镓,jiā,jia1
袈,jiā,jia1
跏,jiā,jia1
夹,jiá,jia2
颊,jiá,jia2
戛,jiá,jia2
荚,jiá,jia2
郏,jiá,jia2
恝,jiá,jia2
铗,jiá,jia2
袷,qiā,jia2
蛱,jiá,jia2
假,jià,jia3
角,jué,jia3
脚,jué,jia3
甲,jiǎ,jia3
搅,jiǎo,jia3
贾,jiǎ,jia3
缴,jiǎo,jia3
绞,jiǎo,jia3
饺,jiǎo,jia3
矫,jiǎo,jia3
佼,jiǎo,jia3
狡,jiǎo,jia3
剿,jiǎo,jia3
侥,yáo,jia3
皎,jiǎo,jia3
胛,jiǎ,jia3
铰,jiǎo,jia3
挢,jiǎo,jia3
岬,jiǎ,jia3
徼,jiào,jia3
湫,qīu,jia3
敫,jiǎo,jia3
钾,jiǎ,jia3
嘏,jiǎ,jia3
瘕,xiá,jia3
价,jiê,jia4
假,jià,jia4
架,jià,jia4
驾,jià,jia4
嫁,jià,jia4
稼,jià,jia4
家,jiê,jia5
间,jiàn,jian1
坚,jiān,jian1
监,jiàn,jian1
渐,jiàn,jian1
兼,jiān,jian1
艰,jiān,jian1
肩,jiān,jian1
浅,qiǎn,jian1
尖,jiān,jian1
奸,jiān,jian1
溅,jiàn,jian1
煎,jiān,jian1
歼,jiān,jian1
缄,jiān,jian1
笺,jiān,jian1
菅,jiān,jian1
蒹,jiān,jian1
搛,jiān,jian1
湔,jiān,jian1
缣,jiān,jian1
戋,jiān,jian1
犍,qián,jian1
鹣,jiān,jian1
鲣,jiān,jian1
鞯,jiān,jian1
简,jiǎn,jian3
减,jiǎn,jian3
检,jiǎn,jian3
剪,jiǎn,jian3
捡,jiǎn,jian3
拣,jiǎn,jian3
俭,jiǎn,jian3
碱,jiǎn,jian3
茧,jiǎn,jian3
柬,jiǎn,jian3
蹇,jiǎn,jian3
謇,jiǎn,jian3
硷,jiǎn,jian3
睑,jiǎn,jian3
锏,jiàn,jian3
枧,jiǎn,jian3
戬,jiǎn,jian3
谫,jiǎn,jian3
囝,nān,jian3
裥,jiǎn,jian3
笕,jiǎn,jian3
翦,jiǎn,jian3
趼,jiǎn,jian3
见,jiàn,jian4
间,jiàn,jian4
件,jiàn,jian4
建,jiàn,jian4
监,jiàn,jian4
渐,jiàn,jian4
健,jiàn,jian4
剑,jiàn,jian4
键,jiàn,jian4
荐,jiàn,jian4
鉴,jiàn,jian4
践,jiàn,jian4
舰,jiàn,jian4
箭,jiàn,jian4
贱,jiàn,jian4
溅,jiàn,jian4
槛,kǎn,jian4
谏,jiàn,jian4
僭,jiàn,jian4
涧,jiàn,jian4
饯,jiàn,jian4
毽,jiàn,jian4
锏,jiàn,jian4
楗,jiàn,jian4
腱,jiàn,jian4
牮,jiàn,jian4
踺,jiàn,jian4
将,qiāng,jiang1
江,jiāng,jiang1
疆,jiāng,jiang1
姜,jiāng,jiang1
浆,jiàng,jiang1
僵,jiāng,jiang1
缰,jiāng,jiang1
茳,jiāng,jiang1
礓,jiāng,jiang1
豇,jiāng,jiang1
讲,jiǎng,jiang3
奖,jiǎng,jiang3
蒋,jiǎng,jiang3
桨,jiǎng,jiang3
耩,jiǎng,jiang3
将,qiāng,jiang4
强,qiǎng,jiang4
降,xiáng,jiang4
酱,jiàng,jiang4
浆,jiàng,jiang4
虹,jiàng,jiang4
匠,jiàng,jiang4
犟,jiàng,jiang4
绛,jiàng,jiang4
洚,jiàng,jiang4
糨,jiàng,jiang4
教,jiào,jiao1
交,jiāo,jiao1
焦,jiāo,jiao1
骄,jiāo,jiao1
郊,jiāo,jiao1
胶,jiāo,jiao1
椒,jiāo,jiao1
娇,jiāo,jiao1
浇,jiāo,jiao1
姣,jiāo,jiao1
跤,jiāo,jiao1
蕉,qiáo,jiao1
礁,jiāo,jiao1
鲛,jiāo,jiao1
僬,jiāo,jiao1
鹪,jiāo,jiao1
蛟,jiāo,jiao1
艽,jiāo,jiao1
茭,jiāo,jiao1
嚼,jué,jiao2
矫,jiǎo,jiao2
峤,qiáo,jiao2
角,jué,jiao3
脚,jué,jiao3
搅,jiǎo,jiao3
缴,jiǎo,jiao3
绞,jiǎo,jiao3
饺,jiǎo,jiao3
矫,jiǎo,jiao3
佼,jiǎo,jiao3
狡,jiǎo,jiao3
剿,jiǎo,jiao3
侥,yáo,jiao3
皎,jiǎo,jiao3
挢,jiǎo,jiao3
徼,jiào,jiao3
湫,qīu,jiao3
敫,jiǎo,jiao3
